,username,profile_link,rating,review_title,review_body
19,bee,https://amazon.com/gp/profile/amzn1.account.AEM4EQLXKKMR73TFRJGJPADM4I7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Good quality,Love how my pictures come out ! Leaves them looking vintage. I already bought this product twice . Might just have to place a bigger purchase (:
20,Sammy Toke,https://amazon.com/gp/profile/amzn1.account.AE4PL7BXG5D7NSTD4WMZ63PMHGFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Great quality,Little better pricing than what’s at Walmart but same great quality
21,Cely,https://amazon.com/gp/profile/amzn1.account.AGYCDVTXXKYSHOZLKU7XIO32RZMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Good,"Good product. I can’t figure out if the color is like this normally or if I can’t figure out the camera to get it brighter. They Polaroid is cute. I’ve only used 1 packet, so hopefully they’re all good and work well."
22,Amazon Customer,https://amazon.com/gp/profile/amzn1.account.AGE5KCLXWHR4UJB672PZKUIAJY7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Great film!,"I was a bit worried from all the reviews I was going to get bad film, but everything was fine! My film was produced on 10/20 so it still had some time before it expired."
23,Ashley Kahliyah,https://amazon.com/gp/profile/amzn1.account.AFWZNVQJSYN3SGOJD2GS5IFVGCEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Classic Polaroid,Classic Polaroid. Worked perfectly.
24,Melissa,https://amazon.com/gp/profile/amzn1.account.AFZ665RJKREMYINLLHEQ2RNYCZYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,C-,Film didnt take very good pics.
25,Dakota,https://amazon.com/gp/profile/amzn1.account.AGGCMQKIOJWPS2LDMLJJVYBSVBCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Eh they r okay,These r always overpriced but they worked well
26,Christina Pastrano,https://amazon.com/gp/profile/amzn1.account.AHEZVD3VSY2UROS7DEEARACBFQQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Loves these pics,Great price great product
27,Morgan,https://amazon.com/gp/profile/amzn1.account.AEVGDKU3E2CH4FQLZZ3G7JPKAAIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Super Fun Colors,I love the wave patterns and it's a super fun spin on the product.
28,Tracy,https://amazon.com/gp/profile/amzn1.account.AF6XCCS274NEA6QF2NOOK4RRIP5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Very Pretty,And the colors are cool.
29,Jio,https://amazon.com/gp/profile/amzn1.account.AHLZQMTVNPUHDLB5SXRZX3QB6FFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Awesome,Amazing variety to my photos.
30,Marianggny,https://amazon.com/gp/profile/amzn1.account.AEEUL44TTIUJBT6DPZS2RSWHAJSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Las mejores fotos,Súper buenas
31,Amazon Customer,https://amazon.com/gp/profile/amzn1.account.AFITCGFR4TUQCT74R3MORW3O5EVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Film,Gave as a gift
32,Wilfred.,https://amazon.com/gp/profile/amzn1.account.AETBDDLJO4XT6CBTDVTEFQ6K2HMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Emo Polaroid frames make me smile.,They work in my Polaroid I Now and they’re as expected for a Polaroid. Had no issues with expiration. Just solid pictures
33,Anthony Gonzalez,https://amazon.com/gp/profile/amzn1.account.AEQQ5OGLH2VC2QOHJTQ3B6JY6DXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,"Buy one then see how they turn out , then if happy but A bundle!","Got them for my wife great deal for how many you get! The picture Quality it’s Ohk not the best at all it has a dark Brown tint to it , also on the bottom of the picture it has what it looks to be water marks on it! Not to happy about that ! So be aware is that !"
34,pascha shepard,https://amazon.com/gp/profile/amzn1.account.AH73Y2AR3N3T3O7TAM6NUJ66BZDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,So chic,The black is beautiful. Expensive tho.
35,Nelitha Aragon,https://amazon.com/gp/profile/amzn1.account.AFE36MCN5YQ3E7G4FC4WEJRUZ6QQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Lo mejor,Lindisimas
36,Jessica Szymanski,https://amazon.com/gp/profile/amzn1.account.AHNGTDHK5W4STPSUH5KC3ET5C6OQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Great quality,"LOVE the way the pictures turn out, haven’t had one issue with the quality.  Really wish you could get more than 8 pictures though."
37,Amazon Customer,https://amazon.com/gp/profile/amzn1.account.AGQUP6T5KQH6HCL6O5E7O2XAS4CA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,it works,taking pictures
38,Ivan Castillo Flores ,https://amazon.com/gp/profile/amzn1.account.AGCDLMHR4JQ42KDDQS3G45Q42DRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,buying more,love the design 👌
39,Derek,https://amazon.com/gp/profile/amzn1.account.AFDA4763734CNUJHWPJHGQ76MIXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Great film,Got it for my polaroid collection- I have a bunch and I'm glad they make great film.
40,Erika,https://amazon.com/gp/profile/amzn1.account.AGP5USTQM73PQ237XNOISWYUHLLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,expensive,The quality was good and all but it was way too expensive
41,Amazon Customer,https://amazon.com/gp/profile/amzn1.account.AFLKKLCHKBRFNQKCFK4DBZBAGNYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,will buy again,"great packaging, quality product, fast shipping.  highly recommend."
42,Marianne Kornelius,https://amazon.com/gp/profile/amzn1.account.AEA6OMLDDQ5JVCMKI2P242ZYLQ2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Nostalgia,"Your browser does not support HTML5 video.


   I love these. I buy them as a treat to myself since they're 8 in a pack. sigh... but they're lovely to use. DO Not flap them around to develop. Leave them In a dark place for best results!"
43,Andrea D,https://amazon.com/gp/profile/amzn1.account.AEE4ETA3Y2SR2AFUKHKBBEGIDNZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Packaging,The film came super easy but the box was wet and damaged it felt like hopefully it’s still good ** seeing it’s a Christmas gift . *** will update
44,Gurjaap k,https://amazon.com/gp/profile/amzn1.account.AERVQYDWTT5TE4JKIDC2ANBWIBTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,Amazing Item!!,It’s really great!! I just got a new camera for Christmas and I’m so happy with this film for it!!
45,Maureen Nurmikko,https://amazon.com/gp/profile/amzn1.account.AFCYVG52MS2YP3OEXDSAO6TFEP4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,Damaged,Got my product and am unable to use as it is damaged. Really disappointed
46,Ashley,https://amazon.com/gp/profile/amzn1.account.AG4BF3Y3VBMKCHEO2CSWBLSPZZAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,Cute but bad film,The borders were really cute but every other film didn’t come out right they were dark and when I would take a second in the same lighting it was perfect. It was a let down considering how much these films are.
47,Zach,https://amazon.com/gp/profile/amzn1.account.AFZCD45HS77JQTLKBPX5XY2GV64Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Good,Nice matte black finish.
48,BroccoliCheese,https://amazon.com/gp/profile/amzn1.account.AFFR4M2LJCBXSNFNMVWUDIMZIGXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,Too expensive,Cost too much for 8 photos but they are good.
49,libby,https://amazon.com/gp/profile/amzn1.account.AF3JPHNBRLXTWK67BXU3TOYXYPNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,updated rating,"Thought it was expired, but then realized it was the production date. All good. Haven't taken any pics with it yet though."
50,Eric Payne,https://amazon.com/gp/profile/amzn1.account.AHVLYFYSZ5JZ2JCLRZKFWK6P3UFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Its very straight forward,"I received the order, the film was stored properly and works as intended!"
51,Amazon Customer,https://amazon.com/gp/profile/amzn1.account.AFATJA7T6KDNBPAAQRFL3B5DNBRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,SO GLAD IT IS BACK!!!!,Really missed my Polaroid camera had them all from day one-this one is also loved thank you Polaroid for bringing it back
52,dawnetta,https://amazon.com/gp/profile/amzn1.account.AE4ZOYWLMFNPYZIMSJ53UW6JXJGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,good product,very expensive
53,shaun sakya,https://amazon.com/gp/profile/amzn1.account.AHP36VKG56HN3C4YFZHI7ZYG5WJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Good price,Great deal!
54,Savannah S.,https://amazon.com/gp/profile/amzn1.account.AG2CHYQQVXFKYOKWDHZB2XJGNCSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,little bit damaged,Film came a little defected! it had a bunch of dots/indentions on the films. still came out okay but the dots were a bit annoying
55,Parul kohli,https://amazon.com/gp/profile/amzn1.account.AFTVJC6EOFVW7UUO34TU6CKSDZ5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Definitely recommended,Its nice fun to get an instant picture you click but little expensive
56,Jenni schlicht,https://amazon.com/gp/profile/amzn1.account.AFLTDGJ7UN26J5Q67HXGQCQT6UUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,not worth the price at sll,Not the best picture quality and WAY to expensive
57,Andrew Roehrich,https://amazon.com/gp/profile/amzn1.account.AH6SVNX34CVLPSBNO5XIQVNFNW5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Worth the money,My girlfriend loves them! They work great and the pictures are amazing!
58,Paolo Fernandez,https://amazon.com/gp/profile/amzn1.account.AG3QZ2H2CVMEIBMG37SBMQJ7Z5EA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Good deal!,This is so cheap. It’s expensive in our country so I opted to buy it from Amazon and it didn’t disappoint.
59,Amazon Customer,https://amazon.com/gp/profile/amzn1.account.AHZWIZXAH57TEC3INFYXPBLRJOOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,My Granddaughter Says IT'S AWESOME!!,Got this for my little shutterbug for her 6th birthday. Great pictures.
60,Samantha,https://amazon.com/gp/profile/amzn1.account.AEZJEDA4CWTFBZF55P45P3ACLLLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Good,Good
61,kelsy  caruso,https://amazon.com/gp/profile/amzn1.account.AHIS7K76W63STMSY2IELAIKI5SVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Great Product,"I really like the black border, and my photos had this sort of rainbow effect which I loved"
62,Ana Baeza,https://amazon.com/gp/profile/amzn1.account.AECXSR4B4VB3ACDADD53U5KB5MCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Very good,Everything comes right! No any damage. Pictures are perfect
