,username,profile_link,rating,review_title,review_body
10,"sungmin,Koh",https://amazon.com/gp/profile/amzn1.account.AHHV2TJAMOQIFDOLP2GEZY3X6PAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Great product if you make smoothies daily.,"I purchased this blender for my daughter. I have a Nutri Ninja, and this is a rival. If I did not already have my blender, I would be buying this for myself as well. She was very happy with this one. One thing that used to keep me from making more protein smoothies is the fact that we had a full-sized blender and I hated having to wash it after each use. I do not always have enough dishes to run the dishwasher daily, so I would end up hand washing the glass container & it was a pain. This morning, I added crushed ice, water, chocolate protein powder, a banana, & almond butter and pressed the button. Within seconds, it was all blended perfectly and ready to drink. They do not leak at all. I'm impressed that the rubber grommets are easy to remove to easily clean. And it came with spare grommets too! After it was finished, I removed the cup from the base and drank my drink. I am really surprised at how powerful it is for being small. Great product if you make smoothies daily."
11,Jackson Floyd,https://amazon.com/gp/profile/amzn1.account.AGYZETLYACNDJTEWL2VNNXHQRGEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,"Quick, quiet & delicious","Got this because we have enjoyed the HadinEEon milk frother so much, so thought, why not? So glad I did, because it has met my expectations so far! Decided to go big from the beginning -- frozen bananas, blueberries, Greek yogurt & oatmilk -- for a thick, creamy and healthy dessert. The compact blender is cute (and perfectly sized for a single serving, or bigger for two), super easy to use, and surprisingly quick and quiet. I foresee expanding my breakfast options with some delicious smoothies1"
12,Yogesh Mehta,https://amazon.com/gp/profile/amzn1.account.AE7SKMZ2BH3UP35RSE7K5HLFDU7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Perfect little blender!,"This is my third blender. The first two gave up, and I wanted to try out something nice. I trust the brand, as I already have purchased a couple of other items. This blender looks so good on my countertop, and the dualtone color is just perfect. I am very pleased with how powerful it is. I can make smoothies that are truly pulverized. It comes with 2 jars, both for adult size and kids size.I am used to using a large sized blender container, so I like that, but I also really like that I can make a smoothie for one - and drink it out of the container! I also like how easy this is to clean.I’m very pleased with this machine and would highly recommended it."
13,dd,https://amazon.com/gp/profile/amzn1.account.AEP6EOWC53ZDALEU2FZPAOJMGKUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Great smoothie maker!!!!,"Thrilled with this device!  Quick clean up and easy assemble.  Looks great alongside my Water Kettle.  Blends frozen strawberries within seconds and uniformly mixes for great smoothie texture.  Recipe for pictured drink: 1 part frozen strawberries, 2 parts almond milk, 1 drop vanilla, 1 tsp date syrup.  Delicious!"
14,Katrina,https://amazon.com/gp/profile/amzn1.account.AEJSUPCTHEZ3TX74LROZUEHIAHDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Very easy and quick,"I made bulletproof in 10 seconds. Very quick and so easy, put my ingredients in, coffee, cacao powder and heavy cream, seconds later, it's done.  The to-go cup is so convenient, blend, put the lid on and go. Quality is also great, with the heavy plastic bottle.I am very pleased with this purchase. You will be, too"
15,HDTVSET,https://amazon.com/gp/profile/amzn1.account.AEBVHZ3O7S2HCMA7GKJYCHNRYMNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Easy to use,"It blended avocado, orange with soymilk in few seconds on speed 1. It is light weight, easy to put together and use. This is the first time I have a personal blender. My old blender is just too big for blending small drinks. I wish they have more colors rather than just the dark red."
16,Katherine,https://amazon.com/gp/profile/amzn1.account.AEVKIZQKQAV3XIIEZTDO2BNQHHBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Easy Clean- Yes Please,"This product is great for on the go. With two different size bottles, I can choose how big or small I want my smoothie that day. Also biggest “it” factor is that the blender is also your cup, for easy cleanup.would recommend!"
17,Shirley,https://amazon.com/gp/profile/amzn1.account.AFYNJJKNSGH7TGA4VBNKJUGPO76A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,User Friendly Compact Blender,"First glance after I removed all of the items out of the box was that I noticed that this kit includes a small AND large cup size. This is comforting to know when deciding how much I can blend at one time. I also love the burgundy color which looks better than what I had expected (thought this item was red).The blender itself is user friendly. I had no real issues with set up and blending all of the items together. Also adore the dial feature - you can chose either 1 (low) or 2 (high) for power.I blended a banana smoothie (1 cup ice, 2 tblspn sugar, 1/2 banana and 1 cup milk). As you can see in the attached pics, this compact blender did the job. The only hiccup I had was that I needed to shake the bottle half way through because the bottom of the cup (before turning bottle upside down to blend) froze quickly so this part did not blend until I shook the bottle half way (temp shut off power 1st) through the blending. Otherwise, a very nice blender."
18,matt peterman,https://amazon.com/gp/profile/amzn1.account.AERQKIOGHURFG3GNG44EVSTEZARQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Great Value little blender,This little blender does a great job of making smoothies and small tasks like that. Comes with two size containers and an extra seal. I'm no blender expert but it seems powerful enough for frozen berries and ice so far. Pics are pre-use obviously.
19,Natasa Paunic,https://amazon.com/gp/profile/amzn1.account.AGBEHI4JT7ZUGQYUCZBPAUEMQ5LQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,"Works great, it comes with two bottles!","Works great, bottles are good quality and come in two sizes, very convenient!"
